year,month_finished,tournament,country,quarter,semi,final,won
2015,August,ESL One Cologne,Mongolia,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Mongolia,0,0,0,0
2016,April,MLG Columbus,Mongolia,0,0,0,0
2016,July,ESL One Cologne,Mongolia,0,0,0,0
2017,January,ELEAGUE Major,Mongolia,0,0,0,0
2017,July,PGL Major Krakow,Mongolia,0,0,0,0
2018,January,ELEAGUE Major,Mongolia,0,0,0,0
2018,September,FACEIT Major,Mongolia,0,0,0,0
2019,March,IEM Katowice,Mongolia,0,0,0,0
2019,September,StarLadder Major Berlin,Mongolia,0,0,0,0
2021,November,PGL Major Stockholm,Mongolia,0,0,0,0
2022,May,PGL Major Antwerp,Mongolia,0,0,0,0
2022,November,IEM Rio Major,Mongolia,0,0,0,0
2023,May,BLAST.tv Paris Major,Mongolia,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Mongolia,0,0,0,0
2024,December,Perfect World Shanghai Major,Mongolia,5,0,0,0
2025,June,BLAST.tv Austin Major,Mongolia,5,5,5,0
2013,November,DreamHack Winter,United States,4,4,0,0
2014,March,EMS One Katowice,United States,4,0,0,0
2014,August,ESL One Cologne,United States,3,0,0,0
2014,November,DreamHack Winter,United States,0,0,0,0
2015,March,ESL One Katowice,United States,0,0,0,0
2015,August,ESL One Cologne,United States,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,United States,0,0,0,0
2016,April,MLG Columbus,United States,9,4,0,0
2016,July,ESL One Cologne,United States,4,4,4,0
2017,January,ELEAGUE Major,United States,0,0,0,0
2017,July,PGL Major Krakow,United States,0,0,0,0
2018,January,ELEAGUE Major,United States,5,5,5,5
2018,September,FACEIT Major,United States,6,4,0,0
2019,March,IEM Katowice,United States,3,0,0,0
2019,September,StarLadder Major Berlin,United States,6,3,0,0
2021,November,PGL Major Stockholm,United States,0,0,0,0
2022,May,PGL Major Antwerp,United States,0,0,0,0
2022,November,IEM Rio Major,United States,0,0,0,0
2023,May,BLAST.tv Paris Major,United States,3,0,0,0
2024,March,PGL CS2 Major Copenhagen,United States,0,0,0,0
2024,December,Perfect World Shanghai Major,United States,0,0,0,0
2025,June,BLAST.tv Austin Major,United States,1,0,0,0
2013,November,DreamHack Winter,Finland,0,0,0,0
2014,March,EMS One Katowice,Finland,0,0,0,0
2014,August,ESL One Cologne,Finland,0,0,0,0
2014,November,DreamHack Winter,Finland,0,0,0,0
2015,March,ESL One Katowice,Finland,1,1,1,0
2015,August,ESL One Cologne,Finland,1,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Finland,1,1,0,0
2016,April,MLG Columbus,Finland,0,0,0,0
2016,July,ESL One Cologne,Finland,0,0,0,0
2017,January,ELEAGUE Major,Finland,1,0,0,0
2017,July,PGL Major Krakow,Finland,0,0,0,0
2018,January,ELEAGUE Major,Finland,1,0,0,0
2018,September,FACEIT Major,Finland,0,0,0,0
2019,March,IEM Katowice,Finland,5,5,5,0
2019,September,StarLadder Major Berlin,Finland,5,0,0,0
2021,November,PGL Major Stockholm,Finland,0,0,0,0
2022,May,PGL Major Antwerp,Finland,0,0,0,0
2022,November,IEM Rio Major,Finland,0,0,0,0
2023,May,BLAST.tv Paris Major,Finland,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Finland,2,1,1,1
2024,December,Perfect World Shanghai Major,Finland,1,1,0,0
2025,June,BLAST.tv Austin Major,Finland,2,1,0,0
2013,November,DreamHack Winter,Kazakhstan,1,0,0,0
2014,March,EMS One Katowice,Kazakhstan,1,0,0,0
2014,August,ESL One Cologne,Kazakhstan,0,0,0,0
2014,November,DreamHack Winter,Kazakhstan,0,0,0,0
2015,March,ESL One Katowice,Kazakhstan,0,0,0,0
2015,August,ESL One Cologne,Kazakhstan,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Kazakhstan,0,0,0,0
2016,April,MLG Columbus,Kazakhstan,0,0,0,0
2016,July,ESL One Cologne,Kazakhstan,2,0,0,0
2017,January,ELEAGUE Major,Kazakhstan,3,0,0,0
2017,July,PGL Major Krakow,Kazakhstan,3,3,3,3
2018,January,ELEAGUE Major,Kazakhstan,0,0,0,0
2018,September,FACEIT Major,Kazakhstan,0,0,0,0
2019,March,IEM Katowice,Kazakhstan,1,0,0,0
2019,September,StarLadder Major Berlin,Kazakhstan,3,3,3,0
2021,November,PGL Major Stockholm,Kazakhstan,3,1,0,0
2022,May,PGL Major Antwerp,Kazakhstan,0,0,0,0
2022,November,IEM Rio Major,Kazakhstan,2,1,1,1
2023,May,BLAST.tv Paris Major,Kazakhstan,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Kazakhstan,1,0,0,0
2024,December,Perfect World Shanghai Major,Kazakhstan,0,0,0,0
2025,June,BLAST.tv Austin Major,Kazakhstan,1,0,0,0
2013,November,DreamHack Winter,Canada,1,1,0,0
2014,March,EMS One Katowice,Canada,1,0,0,0
2014,August,ESL One Cologne,Canada,2,0,0,0
2014,November,DreamHack Winter,Canada,0,0,0,0
2015,March,ESL One Katowice,Canada,0,0,0,0
2015,August,ESL One Cologne,Canada,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Canada,0,0,0,0
2016,April,MLG Columbus,Canada,0,0,0,0
2016,July,ESL One Cologne,Canada,0,0,0,0
2017,January,ELEAGUE Major,Canada,0,0,0,0
2017,July,PGL Major Krakow,Canada,0,0,0,0
2018,January,ELEAGUE Major,Canada,0,0,0,0
2018,September,FACEIT Major,Canada,4,2,0,0
2019,March,IEM Katowice,Canada,2,0,0,0
2019,September,StarLadder Major Berlin,Canada,3,1,0,0
2021,November,PGL Major Stockholm,Canada,0,0,0,0
2022,May,PGL Major Antwerp,Canada,1,1,1,1
2022,November,IEM Rio Major,Canada,0,0,0,0
2023,May,BLAST.tv Paris Major,Canada,2,0,0,0
2024,March,PGL CS2 Major Copenhagen,Canada,0,0,0,0
2024,December,Perfect World Shanghai Major,Canada,2,0,0,0
2025,June,BLAST.tv Austin Major,Canada,0,0,0,0
2013,November,DreamHack Winter,Chile,0,0,0,0
2014,March,EMS One Katowice,Chile,0,0,0,0
2014,August,ESL One Cologne,Chile,0,0,0,0
2014,November,DreamHack Winter,Chile,0,0,0,0
2015,March,ESL One Katowice,Chile,0,0,0,0
2015,August,ESL One Cologne,Chile,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Chile,0,0,0,0
2016,April,MLG Columbus,Chile,0,0,0,0
2016,July,ESL One Cologne,Chile,0,0,0,0
2017,January,ELEAGUE Major,Chile,0,0,0,0
2017,July,PGL Major Krakow,Chile,0,0,0,0
2018,January,ELEAGUE Major,Chile,0,0,0,0
2018,September,FACEIT Major,Chile,0,0,0,0
2019,March,IEM Katowice,Chile,0,0,0,0
2019,September,StarLadder Major Berlin,Chile,0,0,0,0
2021,November,PGL Major Stockholm,Chile,0,0,0,0
2022,May,PGL Major Antwerp,Chile,0,0,0,0
2022,November,IEM Rio Major,Chile,0,0,0,0
2023,May,BLAST.tv Paris Major,Chile,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Chile,0,0,0,0
2024,December,Perfect World Shanghai Major,Chile,0,0,0,0
2025,June,BLAST.tv Austin Major,Chile,1,1,0,0
2013,November,DreamHack Winter,Guatemala,0,0,0,0
2014,March,EMS One Katowice,Guatemala,0,0,0,0
2014,August,ESL One Cologne,Guatemala,0,0,0,0
2014,November,DreamHack Winter,Guatemala,0,0,0,0
2015,March,ESL One Katowice,Guatemala,0,0,0,0
2015,August,ESL One Cologne,Guatemala,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Guatemala,0,0,0,0
2016,April,MLG Columbus,Guatemala,0,0,0,0
2016,July,ESL One Cologne,Guatemala,0,0,0,0
2017,January,ELEAGUE Major,Guatemala,0,0,0,0
2017,July,PGL Major Krakow,Guatemala,0,0,0,0
2018,January,ELEAGUE Major,Guatemala,0,0,0,0
2018,September,FACEIT Major,Guatemala,0,0,0,0
2019,March,IEM Katowice,Guatemala,0,0,0,0
2019,September,StarLadder Major Berlin,Guatemala,0,0,0,0
2021,November,PGL Major Stockholm,Guatemala,0,0,0,0
2022,May,PGL Major Antwerp,Guatemala,0,0,0,0
2022,November,IEM Rio Major,Guatemala,0,0,0,0
2023,May,BLAST.tv Paris Major,Guatemala,0,0,0,0
2024,March,PGL CS2 Major Copenhagen,Guatemala,0,0,0,0
2024,December,Perfect World Shanghai Major,Guatemala,1,1,0,0
2025,June,BLAST.tv Austin Major,Guatemala,0,0,0,0
2013,November,DreamHack Winter,United Kingdom,0,0,0,0
2014,March,EMS One Katowice,United Kingdom,0,0,0,0
2014,August,ESL One Cologne,United Kingdom,0,0,0,0
2014,November,DreamHack Winter,United Kingdom,0,0,0,0
2015,March,ESL One Katowice,United Kingdom,0,0,0,0
2015,August,ESL One Cologne,United Kingdom,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,United Kingdom,0,0,0,0
2016,April,MLG Columbus,United Kingdom,0,0,0,0
2016,July,ESL One Cologne,United Kingdom,0,0,0,0
2017,January,ELEAGUE Major,United Kingdom,0,0,0,0
2017,July,PGL Major Krakow,United Kingdom,0,0,0,0
2018,January,ELEAGUE Major,United Kingdom,0,0,0,0
2018,September,FACEIT Major,United Kingdom,2,0,0,0
2019,March,IEM Katowice,United Kingdom,0,0,0,0
2019,September,StarLadder Major Berlin,United Kingdom,1,0,0,0
2021,November,PGL Major Stockholm,United Kingdom,0,0,0,0
2022,May,PGL Major Antwerp,United Kingdom,0,0,0,0
2022,November,IEM Rio Major,United Kingdom,1,0,0,0
2023,May,BLAST.tv Paris Major,United Kingdom,2,0,0,0
2024,March,PGL CS2 Major Copenhagen,United Kingdom,1,1,0,0
2024,December,Perfect World Shanghai Major,United Kingdom,1,0,0,0
2025,June,BLAST.tv Austin Major,United Kingdom,1,1,1,1
2013,November,DreamHack Winter,Switzerland,1,0,0,0
2014,March,EMS One Katowice,Switzerland,1,0,0,0
2014,August,ESL One Cologne,Switzerland,1,0,0,0
2014,November,DreamHack Winter,Switzerland,0,0,0,0
2015,March,ESL One Katowice,Switzerland,0,0,0,0
2015,August,ESL One Cologne,Switzerland,0,0,0,0
2015,November,DreamHack Open Cluj-Napoca,Switzerland,0,0,0,0
2016,April,MLG Columbus,Switzerland,0,0,0,0
2016,July,ESL One Cologne,Switzerland,0,0,0,0
2017,January,ELEAGUE Major,Switzerland,0,0,0,0
2017,July,PGL Major Krakow,Switzerland,0,0,0,0
